text,category,language
He threatens to leave me if I don't obey,emotional_violence,english
Anasema mambo ya ukatili kuniudhi,emotional_violence,swahili
He struck me with his fist multiple times,Physical_violence,english
Alinishika kwa nguvu kooni,Physical_violence,swahili
He hit me with a belt leaving bruises,Physical_violence,english
He molested me against my wishes,sexual_violence,english
He emotionally torments me daily,emotional_violence,english
Alifanya uhasama wa kingono dhidi yangu,sexual_violence,swahili
He controls all financial decisions alone,economic_violence,english
Ananidhalilisha mara kwa mara,emotional_violence,swahili
He made unwanted sexual advances toward me,sexual_violence,english
Alinipiga mapigo mwilini mwangu,Physical_violence,swahili
He sexually assaulted me repeatedly,sexual_violence,english
He controls all the money and won't give me any,economic_violence,english
He makes fun of me publicly,emotional_violence,english
He committed acts of sexual violence,sexual_violence,english
Anatukana kwa maneno mabaya sana,emotional_violence,swahili
Alinidhuru kimwili vibaya sana,Physical_violence,swahili
Alivunja mbavu zangu kadhaa kwa kunipiga mateke,Physical_violence,swahili
He forced me into unwanted sexual activity,sexual_violence,english
Ananitenganisha na marafiki na familia yangu,emotional_violence,swahili
Anafuatilia kila nilichofanya,emotional_violence,swahili
He demeans me in front of children,emotional_violence,english
Alinibaka mara kadhaa,sexual_violence,swahili
Alinipiga mateke tumboni nikiwa mjamzito,Physical_violence,swahili
Anasema niko mjinga na sina thamani,emotional_violence,swahili
Anaharibu fursa zangu za kazi,economic_violence,swahili
He pummeled me until I collapsed,Physical_violence,english
Alinipiga hadi nikaanguka,Physical_violence,swahili
He treats me with contempt,emotional_violence,english
Alinishambulia kwa ukali kimwili,Physical_violence,swahili
He broke my arm during the attack,Physical_violence,english
He yells and screams at me daily,emotional_violence,english
Alinitia tabu kingono,sexual_violence,swahili
Anakataa kuniruhusu kufanya kazi,economic_violence,swahili
Alinitendea maumivu makubwa ya kimwili,Physical_violence,swahili
He tells me I'm nothing without him,emotional_violence,english
Anadhibiti maamuzi yote ya fedha peke yake,economic_violence,swahili
Anapuuza wasiwasi wangu kabisa,emotional_violence,swahili
